Model;Scenario;Region;Variable;Unit;2010;2020;2030;2040;2050;2060;2070;2080;2090;2100
IMAGE;SSP1-19-SPA0-V17;World;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;84.51458222;1568.004893;3445.317946;3924.803613;4957.363597;6787.775954;8795.333286;11052.60874;14286.23778
IMAGE;SSP1-19-SPA0-V17;BRA;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;6.396824845;28.67156936;53.87218278;71.83604508;78.90831161;110.5938823;179.113968;237.5584115;287.6530845
IMAGE;SSP1-19-SPA0-V17;CAN;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;0.853884606;8.745836559;28.20621743;42.84225369;60.70029062;102.4860327;141.994834;152.0200584;186.528345
IMAGE;SSP1-19-SPA0-V17;CEU;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;0.603026063;14.89999051;63.5165898;195.7545606;315.5170619;353.1153669;377.0462523;405.3654158;352.1760986
IMAGE;SSP1-19-SPA0-V17;CHN;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;9.475533222;327.62353;636.116265;660.5418057;776.8089794;1019.93408;1122.874037;1060.400172;1295.019833
IMAGE;SSP1-19-SPA0-V17;EAF;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;0.868348475;5.484883536;13.60561493;20.03139203;34.48569851;58.64406057;101.0690428;152.6463374;255.2688448
IMAGE;SSP1-19-SPA0-V17;INDIA;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;13.02249026;194.5862875;269.659474;300.7287982;352.8979264;410.3234727;489.8509894;505.1699533;656.0849822
IMAGE;SSP1-19-SPA0-V17;INDO;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;4.50536192;32.54989199;76.47647187;83.94026788;110.1995293;167.8766159;267.64628;350.131095;440.7517095
IMAGE;SSP1-19-SPA0-V17;JAP;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;2.982742296;18.41237454;59.69650585;65.82237024;69.49828236;74.04110274;114.9462208;189.0770151;320.0296948
IMAGE;SSP1-19-SPA0-V17;KOR;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;2.792070997;4.862140057;35.51010016;64.39284719;68.0459159;84.29047347;69.05215997;35.80191312;15.20450739
IMAGE;SSP1-19-SPA0-V17;ME;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;4.768218393;59.34963817;100.1728781;111.4558419;156.335511;261.9786505;463.2646812;711.4087543;1123.159632
IMAGE;SSP1-19-SPA0-V17;MEX;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;1.774178061;5.463019153;41.20772565;36.03387664;36.70644694;47.13434472;68.40440429;71.0618246;102.0342558
IMAGE;SSP1-19-SPA0-V17;NAF;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;2.85679752;36.15113123;44.47190441;47.15084649;59.28895519;92.94989911;143.6075849;210.6058578;313.1642054
IMAGE;SSP1-19-SPA0-V17;OCE;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;0.33776751;33.04393523;49.95273149;37.11744439;48.9516576;99.76048766;125.9729959;180.0108685;291.194159
IMAGE;SSP1-19-SPA0-V17;RCAM;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;1.326700587;13.23693543;14.93432133;19.691983;25.80653644;43.143397;76.85688753;113.960725;169.4215275
IMAGE;SSP1-19-SPA0-V17;RSAF;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;0.983337827;10.46334186;18.47616639;19.63767545;31.98279038;53.90628269;100.0327688;162.0484067;337.74567
IMAGE;SSP1-19-SPA0-V17;RSAM;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;3.074787798;25.76577387;62.83898824;71.71904205;87.01323255;140.2559562;264.9640338;375.6419156;528.1904062
IMAGE;SSP1-19-SPA0-V17;RSAS;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;2.136318102;20.23035763;29.15764144;40.59634522;73.10342646;118.0471202;223.2354866;378.7186124;633.4876355
IMAGE;SSP1-19-SPA0-V17;RUS;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;1.764849348;183.4906517;336.3755158;550.8177903;826.1527935;860.4325109;874.8502037;912.0192748;654.2952361
IMAGE;SSP1-19-SPA0-V17;SAF;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;2.78731383;45.15650842;47.84755181;47.53342484;59.18603217;73.54298568;81.18568422;90.49092062;152.3506496
IMAGE;SSP1-19-SPA0-V17;SEAS;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;6.643056578;82.99980563;178.8332839;159.155073;199.4673286;311.3177788;514.6585753;710.4407703;899.7923869
IMAGE;SSP1-19-SPA0-V17;STAN;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;0.204243228;16.25104752;29.59211684;48.59224932;71.3179757;84.62879928;121.9197094;182.2906592;275.7899791
IMAGE;SSP1-19-SPA0-V17;TUR;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;1.621658904;21.57157272;44.90093929;42.34175241;47.03505247;70.47119998;87.08330221;77.84046842;121.7102364
IMAGE;SSP1-19-SPA0-V17;UKR;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;3.276603427;15.47314934;29.30678069;41.44825733;54.84234822;79.36807847;93.81277486;68.59848318;69.54444978
IMAGE;SSP1-19-SPA0-V17;USA;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;2.001923441;293.4759471;954.4862755;684.6266625;699.8715843;1057.990094;1311.505898;2162.306449;2873.039903
IMAGE;SSP1-19-SPA0-V17;WAF;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;2.575474875;19.21020063;33.01982274;41.62249655;74.19991027;131.2264552;248.5177228;473.2695554;719.7753607
IMAGE;SSP1-19-SPA0-V17;WEU;Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;0;4.881067349;50.83544692;193.0842092;419.3706055;539.0397207;880.3161622;1131.867343;1083.724663;1212.82596
