Model;Scenario;Region;Variable;Unit;2010;2020;2030;2040;2050;2060;2070;2080;2090;2100
IMAGE;SSP1-19-SPA0-V17;World;Emissions|CO2;Mt CO2/yr;35488.83594;31604.69727;18183.61589;7039.710409;1611.345581;-1320.871572;-4093.173137;-7023.613689;-10165.90674;-13868.23926
IMAGE;SSP1-19-SPA0-V17;BRA;Emissions|CO2;Mt CO2/yr;1243.651245;1027.143687;454.3945872;700.045868;142.4836617;20.30629413;-206.5537885;-527.8416087;-522.0336101;-748.534256
IMAGE;SSP1-19-SPA0-V17;CAN;Emissions|CO2;Mt CO2/yr;551.9950257;405.788175;250.9327444;128.4624774;-29.41584746;-18.01812426;19.10124413;-75.55368615;-232.2362188;-142.8159002
IMAGE;SSP1-19-SPA0-V17;CEU;Emissions|CO2;Mt CO2/yr;678.4598338;571.6523896;287.3188553;137.1291148;-71.55162685;-249.5568772;-361.8776652;-400.6526261;-492.8461915;-375.0952276
IMAGE;SSP1-19-SPA0-V17;CHN;Emissions|CO2;Mt CO2/yr;8814.402589;8231.714112;5564.848796;1181.274943;25.23435132;-518.0977733;-672.8788198;-940.3012696;-978.938792;-1178.82785
IMAGE;SSP1-19-SPA0-V17;EAF;Emissions|CO2;Mt CO2/yr;141.1966553;279.6851883;266.2205836;217.3634084;94.81160292;-1.41997242;-49.95312659;-107.8967273;-17.58377203;-215.9108213
IMAGE;SSP1-19-SPA0-V17;INDIA;Emissions|CO2;Mt CO2/yr;1742.537903;1970.499207;1266.658102;450.474556;247.339063;90.79110146;37.83120092;-209.0758667;-118.7187119;-447.7784628
IMAGE;SSP1-19-SPA0-V17;INDO;Emissions|CO2;Mt CO2/yr;1326.191193;1209.243235;640.3386078;343.5447515;129.7726046;-53.43154622;-158.2386322;-455.601293;-678.3699799;-783.305598
IMAGE;SSP1-19-SPA0-V17;JAP;Emissions|CO2;Mt CO2/yr;1176.495453;897.9332988;503.3984884;170.5677961;47.43570265;-18.98316574;-55.85536067;-107.8064537;-202.406423;-309.1488826
IMAGE;SSP1-19-SPA0-V17;KOR;Emissions|CO2;Mt CO2/yr;694.2345683;549.5919088;361.8705318;206.2351456;49.44166279;-1.814661155;-49.71527036;-38.02226989;-13.4534324;-4.497745951
