Model;Scenario;Region;Variable;Unit;2010;2020;2030;2040;2050;2060;2070;2080;2090;2100
IMAGE;SSP1-19-SPA0-V17;World;Emissions|CO2|Land Use|Carbon Sequestration;Mt CO2/yr;896.6272921;1099.50907;1625.920077;1678.815603;2403.422396;3106.731455;3592.76255;4014.28632;4283.62604;4262.548169
IMAGE;SSP1-19-SPA0-V17;BRA;Emissions|CO2|Land Use|Carbon Sequestration;Mt CO2/yr;-166.3392832;-175.2390911;-121.8523868;-183.3132158;14.95729666;95.77835849;323.4093537;519.8597412;459.3238036;618.4333315
IMAGE;SSP1-19-SPA0-V17;CAN;Emissions|CO2|Land Use|Carbon Sequestration;Mt CO2/yr;62.5893275;60.32237287;45.38546969;67.42651637;181.1709441;140.4915365;72.84827283;142.1507982;292.6436365;160.0016095
IMAGE;SSP1-19-SPA0-V17;CEU;Emissions|CO2|Land Use|Carbon Sequestration;Mt CO2/yr;175.1955586;117.091431;208.5144359;125.2165462;48.97742688;67.3963974;135.6315774;142.5881038;203.4222124;145.1555379
IMAGE;SSP1-19-SPA0-V17;CHN;Emissions|CO2|Land Use|Carbon Sequestration;Mt CO2/yr;47.31274924;200.1273061;321.9202881;461.0062043;572.190096;698.4383365;521.2786248;472.0704258;446.5225439;308.0923334
IMAGE;SSP1-19-SPA0-V17;EAF;Emissions|CO2|Land Use|Carbon Sequestration;Mt CO2/yr;-32.07066097;-52.62673988;-81.24436998;-39.65827202;5.378702889;85.02576936;139.8176501;141.3948871;29.84012571;100.0671499
IMAGE;SSP1-19-SPA0-V17;INDIA;Emissions|CO2|Land Use|Carbon Sequestration;Mt CO2/yr;69.90318373;31.0597426;20.96376755;0.224643363;67.75430777;101.2481687;47.1141416;128.1211761;-36.54310294;93.05735182
IMAGE;SSP1-19-SPA0-V17;INDO;Emissions|CO2|Land Use|Carbon Sequestration;Mt CO2/yr;-182.3076382;-204.699489;-168.8262634;-121.4280166;5.45584946;146.885364;185.3350115;375.0572031;476.0978173;454.7105879
IMAGE;SSP1-19-SPA0-V17;JAP;Emissions|CO2|Land Use|Carbon Sequestration;Mt CO2/yr;17.38287276;18.28683292;10.99046157;30.38490347;35.71376236;54.85934454;59.81095136;64.18957376;59.61218663;45.57232683
IMAGE;SSP1-19-SPA0-V17;KOR;Emissions|CO2|Land Use|Carbon Sequestration;Mt CO2/yr;-25.09092043;-30.72836219;-22.10157489;-4.173067244;2.70056517;13.63930564;24.93267119;22.45845398;36.25437742;38.21667626
