Model;Scenario;Region;Variable;Unit;2010;2020;2030;2040;2050;2060;2070;2080;2090;2100
IMAGE;SSP1-19-SPA0-V17;World;Population;million;6921.797852;7576.10498;8061.937988;8388.762695;8530.5;8492.175781;8298.950195;7967.387207;7510.454102;6957.98877
IMAGE;SSP1-19-SPA0-V17;BRA;Population;million;195.0384064;208.3587036;215.9423065;218.0762939;214.9947968;206.901001;194.7722015;179.6690979;161.8666992;141.4790039
IMAGE;SSP1-19-SPA0-V17;CAN;Population;million;34.04153824;37.92533112;41.85116959;45.47677994;49.00431824;52.27767944;54.80649948;56.21152115;56.04039001;54.50828934
IMAGE;SSP1-19-SPA0-V17;CEU;Population;million;126.7499008;126.0651016;124.4793015;121.8716965;118.6442032;114.391098;108.6417999;101.5987015;93.39533234;84.82221222
IMAGE;SSP1-19-SPA0-V17;CHN;Population;million;1379.786987;1411.241943;1400.160034;1349.234985;1263.477051;1154.037964;1033.100952;910.9683838;788.6821289;667.0521851
IMAGE;SSP1-19-SPA0-V17;EAF;Population;million;259.4359131;320.5098877;376.8174133;426.8078003;466.2846985;494.0035095;510.6477966;515.5180054;509.1536865;493.3157959
IMAGE;SSP1-19-SPA0-V17;INDIA;Population;million;1214.48999;1350.026978;1446.868042;1511.063965;1537.579956;1523.552002;1469.194946;1379.272949;1261.891968;1129.025024
IMAGE;SSP1-19-SPA0-V17;INDO;Population;million;238.2523041;258.3254089;270.1758118;274.8830872;271.986908;262.0617981;246.8565063;228.1878052;207.5782928;186.1824951
IMAGE;SSP1-19-SPA0-V17;JAP;Population;million;127.5927963;126.5309982;123.3940964;119.2819977;114.6636963;109.4666977;102.4465027;94.43115234;85.86621094;77.5785675
IMAGE;SSP1-19-SPA0-V17;KOR;Population;million;72.84277344;74.96829987;76.01595306;75.44299316;73.0952301;69.41560364;64.88031006;59.42586899;53.91550064;48.28115845
IMAGE;SSP1-19-SPA0-V17;ME;Population;million;215.4602051;258.395813;292.5083923;320.7445068;340.1604919;349.6875916;350.5054932;342.8652039;327.5047913;305.4360046
IMAGE;SSP1-19-SPA0-V17;MEX;Population;million;112.1937027;122.8835983;129.5852051;132.6723022;132.0749054;128.4763031;123.2545013;116.9813004;108.8611984;98.66396332
IMAGE;SSP1-19-SPA0-V17;NAF;Population;million;169.2978058;190.5675049;204.9425049;214.2440033;218.2897034;216.7622986;210.892395;201.2100983;188.6869965;174.1634979
IMAGE;SSP1-19-SPA0-V17;OCE;Population;million;29.55954933;34.15752029;38.51969147;42.55867004;46.35271072;49.68125916;52.03411102;53.14904022;52.70692825;51.06552887
IMAGE;SSP1-19-SPA0-V17;RCAM;Population;million;84.55695343;91.63218689;95.68105316;97.17986298;96.18715668;93.17514801;88.97947693;83.81163788;77.64595795;70.41776276
IMAGE;SSP1-19-SPA0-V17;RSAF;Population;million;136.9026947;167.683197;197.2675018;223.7980957;244.4311981;259.0354919;268.1958923;271.6335144;269.6434937;262.4822998
IMAGE;SSP1-19-SPA0-V17;RSAM;Population;million;197.7073059;216.1661987;228.1582947;234.5509949;234.9797058;230.3399048;221.9389038;210.1921997;194.7303009;175.6824036
IMAGE;SSP1-19-SPA0-V17;RSAS;Population;million;423.0950012;483.5999146;531.5869141;564.9528809;582.0839233;583.1856079;571.7329102;549.1873779;517.4854126;479.6574097
IMAGE;SSP1-19-SPA0-V17;RUS;Population;million;158.770401;157.5756073;154.0269012;150.4911041;145.9306946;139.9067993;132.5079956;123.2566986;112.8475037;102.0421982
IMAGE;SSP1-19-SPA0-V17;SAF;Population;million;50.42721176;55.03007126;58.81113052;61.39318848;62.70986938;62.58012009;60.93552017;57.87768173;53.84011841;49.22217941
IMAGE;SSP1-19-SPA0-V17;SEAS;Population;million;355.9291992;389.8012085;411.4841003;421.7604065;420.1767883;408.9966125;390.9465027;366.9075012;337.5741882;304.5939026
IMAGE;SSP1-19-SPA0-V17;STAN;Population;million;61.52087021;66.62177277;69.14234161;69.84136963;68.80599213;66.18715668;62.73860168;58.59506989;53.94903946;49.26451111
IMAGE;SSP1-19-SPA0-V17;TUR;Population;million;75.98284149;83.35427856;88.10006714;90.85312653;91.22913361;89.40245056;85.95381165;81.09522247;75.24445343;68.57067108
IMAGE;SSP1-19-SPA0-V17;UKR;Population;million;58.61281967;55.22999954;52.33615875;49.95729065;47.55541992;44.93656158;41.95671844;38.50991058;34.82410812;31.07930946
IMAGE;SSP1-19-SPA0-V17;USA;Population;million;316.5808105;343.4447021;370.946991;396.563385;419.264801;440.57901;459.9655151;474.5448914;479.9975891;475.8208923
IMAGE;SSP1-19-SPA0-V17;WAF;Population;million;417.0737;517.8756104;618.7341919;715.2423706;797.3560181;860.7617798;906.1314087;931.833374;938.5523071;928.0501709
IMAGE;SSP1-19-SPA0-V17;WEU;Population;million;409.896698;428.1326904;444.4028015;459.8187866;473.1803894;482.3743896;484.9330139;480.452301;467.9697876;449.5318909
