population[million],1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ABW,0.054208,0.055435,0.056226,0.056697,0.057029,0.05736,0.057712,0.058049,0.058385,0.058724,0.059065,0.059438,0.059849,0.060239,0.060525,0.060655,0.060589,0.060366,0.060106,0.059978,0.060096,0.060567,0.061344,0.062204,0.062831,0.063028,0.062644,0.061835,0.061077,0.061032,0.062148,0.064623,0.068235,0.072498,0.0767,0.080326,0.083195,0.085447,0.087276,0.089004,0.090858,0.092894,0.094995,0.097015,0.098742,0.100031,0.10083,0.101218,0.101342,0.101416,0.101597,0.101936,0.102393,0.102921,0.103441,0.103889
ADO,0.013414,0.014376,0.015376,0.01641,0.01747,0.018551,0.019646,0.020755,0.021888,0.023061,0.024279,0.02556,0.026892,0.028231,0.029514,0.030706,0.031781,0.032769,0.033746,0.034819,0.036063,0.037502,0.039112,0.040862,0.042704,0.044597,0.046515,0.048458,0.050431,0.052449,0.054511,0.056674,0.058904,0.061003,0.062707,0.063854,0.064291,0.064147,0.063888,0.064161,0.065399,0.06777,0.071046,0.074783,0.078337,0.081223,0.083373,0.084878,0.085616,0.085474,0.084419,0.082326,0.079316,0.075902,0.072786,0.070473
AFG,8.994793,9.164945,9.343772,9.531555,9.728645,9.935358,10.148841,10.3686,10.59979,10.84951,11.121097,11.412821,11.716896,12.022514,12.315553,12.582954,12.831361,13.056499,13.222547,13.283279,13.211412,12.996923,12.667001,12.279095,11.91251,11.630498,11.438949,11.337932,11.375768,11.608351,12.06757,12.789374,13.74563,14.824371,15.869967,16.772522,17.4818,18.03413,18.51148,19.03842,19.70194,20.53116,21.487079,22.507368,23.49985,24.399948,25.183615,25.877544,26.528741,27.207291,27.962207,28.809167,29.726803,30.6825,31.627506,32.526562
AGO,5.270844,5.367287,5.465905,5.565808,5.665701,5.765025,5.863568,5.962831,6.066094,6.177703,6.300969,6.437645,6.587647,6.750215,6.923749,7.107334,7.299508,7.50132,7.717139,7.952882,8.21195,8.49795,8.807511,9.128655,9.444918,9.745209,10.0237,10.285712,10.544904,10.820992,11.12787,11.472173,11.848971,12.246786,12.648483,13.042666,13.424813,13.801868,14.18771,14.601983,15.058638,15.562791,16.109696,16.691395,17.2955,17.912942,18.541467,19.183907,19.842251,20.520103,21.219954,21.942296,22.685632,23.448202,24.227524,25.021974
ALB,1.6088,1.6598,1.711319,1.762621,1.814135,1.864791,1.914573,1.965598,2.022272,2.081695,2.135479,2.187853,2.243126,2.296752,2.350124,2.404831,2.458526,2.513546,2.566266,2.617832,2.671997,2.726056,2.784278,2.84396,2.904429,2.964762,3.022635,3.083605,3.142336,3.227943,3.286542,3.26679,3.247039,3.227287,3.207536,3.187784,3.168033,3.148281,3.12853,3.108778,3.089027,3.060173,3.05101,3.039616,3.026939,3.011487,2.992547,2.970017,2.947314,2.927519,2.913021,2.90478,2.900247,2.896652,2.893654,2.889167
ARE,0.092612,0.100985,0.11224,0.125216,0.13822,0.150318,0.161077,0.171781,0.185312,0.20557,0.235434,0.27516,0.324069,0.382823,0.451948,0.531265,0.622051,0.722849,0.827394,0.927303,1.016789,1.093108,1.158477,1.218223,1.280278,1.350433,1.430548,1.518991,1.613904,1.712117,1.811458,1.91319,2.019014,2.127863,2.238281,2.350192,2.467726,2.59522,2.73377,2.884188,3.050128,3.217865,3.39406,3.625798,3.975945,4.481976,5.171255,6.0101,6.900142,7.705423,8.329453,8.734722,8.952542,9.039978,9.086139,9.156963
ARG,20.619075,20.953079,21.287682,21.621845,21.953926,22.283389,22.608747,22.932201,23.261273,23.605992,23.973062,24.366442,24.78295,25.213388,25.644505,26.066975,26.477153,26.878567,27.277742,27.68453,28.105889,28.543366,28.993989,29.454739,29.920907,30.388781,30.857242,31.326473,31.795515,32.263559,32.72974,33.19392,33.655149,34.110912,34.558114,34.994818,35.419683,35.833965,36.241578,36.648054,37.057453,37.471535,37.889443,38.309475,38.728778,39.145491,39.55875,39.969903,40.38186,40.798641,41.222875,41.655616,42.095224,42.538304,42.980026,43.416755
ARM,1.867396,1.934239,2.00217,2.070427,2.138133,2.20465,2.269475,2.332624,2.394635,2.45637,2.518408,2.580894,2.643464,2.705584,2.766495,2.82565,2.882831,2.938181,2.991954,3.044564,3.096298,3.145885,3.192877,3.239212,3.287588,3.339147,3.396511,3.457054,3.510439,3.54272,3.544695,3.511912,3.449497,3.369673,3.289943,3.223173,3.173425,3.137652,3.112958,3.09382,3.076098,3.060036,3.047249,3.03642,3.025982,3.014917,3.002161,2.988117,2.975029,2.966108,2.963496,2.967984,2.978339,2.992192,3.006154,3.017712
ASM,0.020012,0.020478,0.021118,0.021883,0.022701,0.023518,0.02432,0.025116,0.025886,0.026615,0.027292,0.027916,0.02849,0.029014,0.029491,0.029932,0.030325,0.03069,0.031105,0.03167,0.032456,0.033488,0.03474,0.036165,0.037687,0.039247,0.040835,0.042448,0.044049,0.045591,0.047044,0.048379,0.049597,0.050725,0.051807,0.052874,0.053926,0.054942,0.055899,0.056768,0.057522,0.058176,0.058729,0.059117,0.059262,0.059117,0.058648,0.057904,0.057031,0.056226,0.055636,0.055316,0.055227,0.055302,0.055434,0.055538
ATG,0.054681,0.055403,0.056311,0.057368,0.0585,0.059653,0.060818,0.062002,0.063176,0.064307,0.065369,0.066338,0.067205,0.067972,0.068655,0.069253,0.069782,0.070223,0.070508,0.070553,0.070301,0.06975,0.06895,0.067958,0.066863,0.065744,0.064605,0.063484,0.062538,0.061967,0.061906,0.062412,0.063434,0.064868,0.06655,0.068349,0.070245,0.072232,0.074206,0.076041,0.077648,0.078972,0.08003,0.080904,0.081718,0.082565,0.083467,0.084397,0.08535,0.0863,0.087233,0.088152,0.089069,0.089985,0.0909,0.091818
